code,name,description,domain,subdomain,scale_min_label,scale_max_label,related_frameworks,inverse_of
1,"Openness to Experience","Big Five: Openness to Experience",cognitive,intellectual_curiosity,"Low Openness (Practical, conventional)","High Openness (Curious, imaginative)","[""Big Five (OCEAN)"", ""NEO-PI-R""]",
2,Conscientiousness,"Big Five: Conscientiousness",behavioral,goal_directedness,"Low Conscientiousness (Spontaneous, flexible)","High Conscientiousness (Organized, disciplined)","[""Big Five (OCEAN)"", ""NEO-PI-R""]",
3,Extraversion,"Big Five: Extraversion",social,social_energy,"Low Extraversion (Reserved, quiet)","High Extraversion (Outgoing, energetic)","[""Big Five (OCEAN)"", ""NEO-PI-R""]",
4,Agreeableness,"Big Five: Agreeableness",social,cooperation,"Low Agreeableness (Skeptical, competitive)","High Agreeableness (Compassionate, cooperative)","[""Big Five (OCEAN)"", ""NEO-PI-R""]",
5,Neuroticism,"Big Five: Neuroticism",emotional,emotional_stability,"Low Neuroticism (Calm, emotionally stable)","High Neuroticism (Anxious, emotionally reactive)","[""Big Five (OCEAN)"", ""NEO-PI-R""]",
11,Imagination,"Big Five Facet: Imagination (part of Openness to Experience)",cognitive,fantasy,"Low Imagination","High Imagination","[""Big Five: Openness to Experience""]",
12,"Artistic Interest","Big Five Facet: Artistic Interest (part of Openness to Experience)",cognitive,aesthetics,"Low Artistic Interest","High Artistic Interest","[""Big Five: Openness to Experience""]",
13,Emotionality,"Big Five Facet: Emotionality (part of Openness to Experience)",cognitive,feelings,"Low Emotionality","High Emotionality","[""Big Five: Openness to Experience""]",
14,Adventurousness,"Big Five Facet: Adventurousness (part of Openness to Experience)",cognitive,actions,"Low Adventurousness","High Adventurousness","[""Big Five: Openness to Experience""]",
15,Intellect,"Big Five Facet: Intellect (part of Openness to Experience)",cognitive,ideas,"Low Intellect","High Intellect","[""Big Five: Openness to Experience""]",
16,Liberalism,"Big Five Facet: Liberalism (part of Openness to Experience)",cognitive,values,"Low Liberalism","High Liberalism","[""Big Five: Openness to Experience""]",
21,Self-Efficacy,"Big Five Facet: Self-Efficacy (part of Conscientiousness)",behavioral,competence,"Low Self-Efficacy","High Self-Efficacy","[""Big Five: Conscientiousness""]",
22,Orderliness,"Big Five Facet: Orderliness (part of Conscientiousness)",behavioral,order,"Low Orderliness","High Orderliness","[""Big Five: Conscientiousness""]",
23,Dutifulness,"Big Five Facet: Dutifulness (part of Conscientiousness)",behavioral,duty,"Low Dutifulness","High Dutifulness","[""Big Five: Conscientiousness""]",
24,"Achievement Striving","Big Five Facet: Achievement Striving (part of Conscientiousness)",behavioral,achievement,"Low Achievement Striving","High Achievement Striving","[""Big Five: Conscientiousness""]",
25,Self-Discipline,"Big Five Facet: Self-Discipline (part of Conscientiousness)",behavioral,discipline,"Low Self-Discipline","High Self-Discipline","[""Big Five: Conscientiousness""]",
26,Cautiousness,"Big Five Facet: Cautiousness (part of Conscientiousness)",behavioral,deliberation,"Low Cautiousness","High Cautiousness","[""Big Five: Conscientiousness""]",
31,Warmth,"Big Five Facet: Warmth (part of Extraversion)",social,friendliness,"Low Warmth","High Warmth","[""Big Five: Extraversion""]",
32,Gregariousness,"Big Five Facet: Gregariousness (part of Extraversion)",social,sociability,"Low Gregariousness","High Gregariousness","[""Big Five: Extraversion""]",
33,Assertiveness,"Big Five Facet: Assertiveness (part of Extraversion)",social,leadership,"Low Assertiveness","High Assertiveness","[""Big Five: Extraversion""]",
34,Activity,"Big Five Facet: Activity (part of Extraversion)",social,energy,"Low Activity","High Activity","[""Big Five: Extraversion""]",
35,Excitement-Seeking,"Big Five Facet: Excitement-Seeking (part of Extraversion)",social,thrill,"Low Excitement-Seeking","High Excitement-Seeking","[""Big Five: Extraversion""]",
36,"Positive Emotions","Big Five Facet: Positive Emotions (part of Extraversion)",social,enthusiasm,"Low Positive Emotions","High Positive Emotions","[""Big Five: Extraversion""]",
41,Trust,"Big Five Facet: Trust (part of Agreeableness)",social,faith_in_others,"Low Trust","High Trust","[""Big Five: Agreeableness""]",
42,Straightforwardness,"Big Five Facet: Straightforwardness (part of Agreeableness)",social,honesty,"Low Straightforwardness","High Straightforwardness","[""Big Five: Agreeableness""]",
43,Altruism,"Big Five Facet: Altruism (part of Agreeableness)",social,helpfulness,"Low Altruism","High Altruism","[""Big Five: Agreeableness""]",
44,Compliance,"Big Five Facet: Compliance (part of Agreeableness)",social,cooperation,"Low Compliance","High Compliance","[""Big Five: Agreeableness""]",
45,Modesty,"Big Five Facet: Modesty (part of Agreeableness)",social,humility,"Low Modesty","High Modesty","[""Big Five: Agreeableness""]",
46,Tender-Mindedness,"Big Five Facet: Tender-Mindedness (part of Agreeableness)",social,empathy,"Low Tender-Mindedness","High Tender-Mindedness","[""Big Five: Agreeableness""]",
51,Anxiety,"Big Five Facet: Anxiety (part of Neuroticism)",emotional,worry,"Low Anxiety","High Anxiety","[""Big Five: Neuroticism""]",
52,"Angry Hostility","Big Five Facet: Angry Hostility (part of Neuroticism)",emotional,irritability,"Low Angry Hostility","High Angry Hostility","[""Big Five: Neuroticism""]",
53,Depression,"Big Five Facet: Depression (part of Neuroticism)",emotional,sadness,"Low Depression","High Depression","[""Big Five: Neuroticism""]",
54,Self-Consciousness,"Big Five Facet: Self-Consciousness (part of Neuroticism)",emotional,insecurity,"Low Self-Consciousness","High Self-Consciousness","[""Big Five: Neuroticism""]",
55,Impulsiveness,"Big Five Facet: Impulsiveness (part of Neuroticism)",emotional,self_control,"Low Impulsiveness","High Impulsiveness","[""Big Five: Neuroticism""]",
56,Vulnerability,"Big Five Facet: Vulnerability (part of Neuroticism)",emotional,stress_response,"Low Vulnerability","High Vulnerability","[""Big Five: Neuroticism""]",
